test_id,app_name,section,subsection,dimension_type,sub_dimension,item_description,image_path,expected_output,actual_output,result
1,FoodZilla,Context,Illumination,Illumination,Illumination,In bright light,data/images/TC01.jpg,"Pomegranate, Juice",,
1,SnapCalorie,Context,Illumination,Illumination,Illumination,In bright light,data/images/TC01.jpg,"Pomegranate, Juice",,
1,Lose It!,Context,Illumination,Illumination,Illumination,In bright light,data/images/TC01.jpg,"Pomegranate, Juice",,
2,FoodZilla,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC02.jpg,"Pasta,Spaghetti",,
2,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC02.jpg,"Pasta,Spaghetti",,
2,Lose It!,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC02.jpg,"Pasta, Spaghetti",,
3,FoodZilla,Context,Illumination,Illumination,Illumination,Food in dark light,data/images/TC03.jpg,Apple,,
3,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in dark light,data/images/TC03.jpg,Apple,,
3,Lose It!,Context,Illumination,Illumination,Illumination,Food in dark light,data/images/TC03.jpg,Apple,,
4,FoodZilla,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC04.jpg,Eggs,,
4,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC04.jpg,Eggs,,
4,Lose It!,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC04.jpg,Eggs,,
5,FoodZilla,Context,Background,Background,Background,Orange juice in same background (orange),data/images/TC05.jpg,Orange Juice,,
5,SnapCalorie,Context,Background,Background,Background,Orange juice in same background (orange),data/images/TC05.jpg,Orange Juice,,
5,Lose It!,Context,Background,Background,Background,Orange juice in same background (orange),data/images/TC05.jpg,Orange Juice,,
6,FoodZilla,Context,Background,Background,Background,Food in same color background,data/images/TC06.jpg,Tomato,,
6,SnapCalorie,Context,Background,Background,Background,Food in same color background,data/images/TC06.jpg,Tomato,,
6,Lose It!,Context,Background,Background,Background,Food in same color background,data/images/TC06.jpg,Tomato,,
7,FoodZilla,Context,Background,Background,Background,Food with different color background,data/images/TC07.jpg,Bread,,
7,SnapCalorie,Context,Background,Background,Background,Food with different color background,data/images/TC07.jpg,Bread,,
7,Lose It!,Context,Background,Background,Background,Food with different color background,data/images/TC07.jpg,Bread,,
8,FoodZilla,Context,Background,Background,Background,Fruit with same background color,data/images/TC08.jpg,Banana,,
8,SnapCalorie,Context,Background,Background,Background,Fruit with same background color,data/images/TC08.jpg,Banana,,
8,Lose It!,Context,Background,Background,Background,Fruit with same background color,data/images/TC08.jpg,Banana,,
9,FoodZilla,Input,Plating,Plating,Plating,Single Item,data/images/TC09.jpg,Orange,,
9,SnapCalorie,Input,Plating,Plating,Plating,Single Item,data/images/TC09.jpg,Orange,,
9,Lose It!,Input,Plating,Plating,Plating,Single Item,data/images/TC09.jpg,Orange,,
10,FoodZilla,Input,Plating,Plating,Plating,Single Item,data/images/TC10.jpg,Cookies,,
10,SnapCalorie,Input,Plating,Plating,Plating,Single Item,data/images/TC10.jpg,Cookies,,
10,Lose It!,Input,Plating,Plating,Plating,Single Item,data/images/TC10.jpg,Cookies,,
11,FoodZilla,Input,Plating,Plating,Plating,Multiple Item,data/images/TC11.jpg,"Chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita",,
11,SnapCalorie,Input,Plating,Plating,Plating,Multiple Item,data/images/TC11.jpg,"Chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita",,
11,Lose It!,Input,Plating,Plating,Plating,Multiple Item,data/images/TC11.jpg,"Chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita",,
12,FoodZilla,Input,Plating,Plating,Plating,Multiple Item,data/images/TC12.jpg,"Grapes, Strawberries, Blueberry, Raspberry",,
12,SnapCalorie,Input,Plating,Plating,Plating,Multiple Item,data/images/TC12.jpg,"Grapes, Strawberries, Blueberry, Raspberry",,
12,Lose It!,Input,Plating,Plating,Plating,Multiple Item,data/images/TC12.jpg,"Grapes, Strawberries, Blueberry, Raspberry",,
13,FoodZilla,Input,Packaging,Packaging,Packaging,Single Item,data/images/TC13.jpg,Dumplings/Steamed Momos,,
13,SnapCalorie,Input,Packaging,Packaging,Packaging,Single Item,data/images/TC13.jpg,Dumplings/Steamed Momos,,
13,Lose It!,Input,Packaging,Packaging,Packaging,Single Item,data/images/TC13.jpg,Dumplings/Steamed Momos,,
14,FoodZilla,Input,Packaging,Packaging,Packaging,Unwrapped,data/images/TC14.jpg,Vegetable. Rice,,
14,SnapCalorie,Input,Packaging,Packaging,Packaging,Unwrapped,data/images/TC14.jpg,Vegetable. Rice,,
14,Lose It!,Input,Packaging,Packaging,Packaging,Unwrapped,data/images/TC14.jpg,Vegetable. Rice,,
15,FoodZilla,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC15.jpg,Apple,,
15,SnapCalorie,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC15.jpg,Apple,,
15,Lose It!,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC15.jpg,Apple,,
16,FoodZilla,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC16.jpg,Madeleins,,
16,SnapCalorie,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC16.jpg,Madeleins,,
16,Lose It!,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC16.jpg,Madeleins,,
17,FoodZilla,Input,Category,Category,Category,Uncooked Food,data/images/TC17.jpg,Raw chicken Breast,,
17,SnapCalorie,Input,Category,Category,Category,Uncooked Food,data/images/TC17.jpg,Raw chicken Breast,,
17,Lose It!,Input,Category,Category,Category,Uncooked Food,data/images/TC17.jpg,Raw chicken Breast,,
